0.txt	13	149ms
1.txt	13	138ms
2.txt	12	120ms
3.txt	13	120ms
4.txt	8	117ms
5.txt	11	124ms
6.txt	5	112ms
7.txt	11	109ms
8.txt	9	124ms
9.txt	9	105ms
10.txt	9	100ms
11.txt	7	103ms
12.txt	12	135ms
13.txt	8	123ms
14.txt	9	168ms
15.txt	7	109ms
16.txt	3	93ms
17.txt	6	113ms
18.txt	8	135ms
19.txt	5	102ms
20.txt	10	145ms
21.txt	10	145ms
22.txt	7	143ms
23.txt	7	121ms
24.txt	10	181ms
25.txt	8	101ms
26.txt	6	104ms
27.txt	6	97ms
28.txt	7	98ms
29.txt	3	90ms
30.txt	8	101ms
31.txt	7	102ms
32.txt	9	106ms
33.txt	7	127ms
34.txt	4	99ms
35.txt	2	91ms
36.txt	14	130ms
37.txt	8	124ms
38.txt	5	96ms
39.txt	8	109ms
40.txt	3	105ms
41.txt	12	130ms
42.txt	9	103ms
43.txt	5	112ms
44.txt	8	116ms
45.txt	5	106ms
46.txt	9	114ms
47.txt	5	100ms
48.txt	4	120ms
49.txt	5	116ms
50.txt	3	132ms
51.txt	6	129ms
52.txt	6	98ms
53.txt	5	138ms
54.txt	6	120ms
55.txt	10	118ms
56.txt	7	129ms
57.txt	5	130ms
58.txt	7	106ms
59.txt	9	136ms
60.txt	5	109ms
61.txt	10	117ms
62.txt	10	125ms
63.txt	12	134ms
64.txt	9	119ms
65.txt	8	114ms
66.txt	8	127ms
67.txt	8	111ms
68.txt	10	114ms
69.txt	6	112ms
70.txt	4	100ms
71.txt	7	103ms
72.txt	12	141ms
73.txt	8	106ms
74.txt	9	122ms
75.txt	6	101ms
76.txt	7	125ms
77.txt	7	102ms
78.txt	11	113ms
79.txt	8	108ms
80.txt	8	130ms
81.txt	8	105ms
82.txt	10	113ms
83.txt	5	98ms
84.txt	10	114ms
85.txt	8	125ms
86.txt	6	120ms
87.txt	11	155ms
88.txt	12	125ms
89.txt	6	121ms
90.txt	8	132ms
91.txt	7	116ms
92.txt	10	124ms
93.txt	5	119ms
94.txt	11	126ms
95.txt	7	123ms
96.txt	5	187ms
97.txt	8	177ms
98.txt	1	154ms
99.txt	6	115ms
