TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,BAX,Repression,22909821
AATF,MYC,Activation,20549547
AATF,TP53,Unknown,17157788
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
ABL1,TP53,Activation,11753601
AHR,ABCG2,Unknown,20460431
AHR,BRCA1,Unknown,18259752
AHR,CCND1,Unknown,24380854
AHR,CYP1A1,Activation,12213390;9865727
AHR,CYP1A1,Repression,17012224
AHR,CYP1A1,Unknown,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR,CYP1A2,Unknown,21357676
AHR,IL13,Unknown,22981205
AHR,IL1B,Unknown,23349129
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
AHR,MYC,Unknown,11114727;16091746
APEX1,CCL2,Activation,17045925
APEX1,NFKB1,Activation,17045925
APEX1,RELA,Activation,17045925
AR,ACTA1,Activation,15623502
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,ARG1,Activation,20711410
AR,CTNNB1,Activation,18535113
AR,EGFR,Activation,11556855;21613411
AR,FKBP4,Unknown,23192983
AR,FN1,Unknown,21055159
AR,HMOX1,Activation,11965035
AR,IGF1R,Activation,15033751;17202144
AR,MYC,Unknown,24512546
AR,NFKB1,Repression,18386814
AR,PTEN,Activation,23418309
AR,PTEN,Unknown,20729295;21532617
AR,PTGS2,Repression,18386814
AR,RELA,Repression,18386814
AR,REST,Repression,24163104
AR,VEGFA,Activation,16007189
AR,VEGFA,Unknown,23369005
AR,VIM,Repression,18535113
AR,XIAP,Repression,20589722
ATF6,DDIT3,Unknown,17455323
ATF6,XBP1,Unknown,20003459;24269637
ATM,BAX,Activation,16214353
ATM,BCL2,Repression,16214353
ATM,FAS,Activation,19502594
ATM,IGF1R,Unknown,11172010
ATM,TNFRSF10B,Repression,19351839
ATM,VEGFA,Repression,20676049
BRCA1,ASPM,Activation,16123590
BRCA1,ATM,Activation,22832221
BRCA1,CASR,Unknown,21296416
BRCA1,CCND1,Unknown,12032322
BRCA1,CTSD,Repression,11244506
BRCA1,CXCL1,Repression,22120723
BRCA1,CYP19A1,Activation,21087664
BRCA1,CYP19A1,Unknown,19445691
BRCA1,CYP1A1,Unknown,16567799
BRCA1,DDIT3,Activation,21700680
BRCA1,EGFR,Repression,21396117
BRCA1,EGR1,Unknown,20103632
BRCA1,ESR1,Activation,20060929
BRCA1,HIF1A,Unknown,16543242
BRCA1,HNRNPA2B1,Repression,21099359
BRCA1,IGF1,Repression,18045956
BRCA1,IGF1R,Unknown,11001824;19223505
BRCA1,KHSRP,Repression,21099359
BRCA1,MYC,Unknown,12032322;12646176
BRCA1,RNASEL,Activation,15940267
BRCA1,SIRT1,Activation,18851829;20160719;21407215;9000507
BRCA1,STAT3,Unknown,11163768
BRCA1,VEGFA,Activation,16543242
CEBPD,C3,Unknown,8385337
CEBPD,CXCL1,Activation,23028973
CEBPD,CYP19A1,Repression,11994385
CEBPD,DDIT3,Activation,20971808
CEBPD,DDIT3,Repression,22347430
