TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
APEX1,CCL2,Activation,17045925
APEX1,PTH,Repression,14633989
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,CDK20,Activation,21747169
AR,CDK20,Activation,21747169
AR,CDKN1A,Activation,10076995
AR,CDKN1A,Repression,16281084
AR,CRH,Repression,16446741
AR,CTNNB1,Activation,18535113
AR,HMOX1,Activation,11965035
AR,KLK3,Activation,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
AR,KLK3,Repression,16342680;9316650
AR,KLK3,Unknown,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894
AR,PC,Activation,18497079
AR,KLK3,Unknown,24937452
AR,PTGS2,Repression,18386814
AR,REST,Repression,24163104
AR,TBP,Unknown,9238003
AR,TH,Activation,16356647
AR,VEGFA,Activation,16007189
AR,VEGFA,Unknown,23369005
AR,XIAP,Repression,20589722
ATF2,CDKN1A,Unknown,10506225
ATF2,DUSP1,Unknown,17681939
ATF2,IFNG,Activation,12836278;18641343;20006311;20304822
ATF2,MAP3K1,Unknown,9710625
ATF2,MMP2,Activation,17079470;17258390
ATF2,NOS3,Repression,16497991
ATF2,PTGS2,Unknown,11278336;12057991
ATF2,TNF,Activation,10688670;10748079;10913190;20068037
ATF4,APOE,Activation,22028770
ATF4,BGLAP,Unknown,21866569
ATF4,CCL2,Unknown,16931790
ATF4,CXCL8,Unknown,16931790
ATF4,DDIT3,Activation,16246168;17276738;20020050;21044953;21966512
ATF4,DDIT3,Unknown,17455323;22691366
ATF4,DDIT4,Activation,19059405;19439225
ATF4,DISC1,Unknown,12812986
ATF4,FGF21,Activation,22233381
ATF4,IL6,Unknown,16931790
ATF4,MCL1,Unknown,22128141
ATF4,PTGS2,Unknown,21244365
ATF4,SIGMAR1,Activation,22079628
ATF4,SIRT1,Activation,22363646
ATF4,SIRT1,Repression,21801305
ATF4,SIRT2,Repression,21801305
ATF4,VEGFA,Activation,15788408;18829529
ATF4,VEGFA,Unknown,18451308;22915762;23908598
ATF5,BCL2,Activation,21212266
ATF5,CREB1,Activation,17140605
ATF5,DISC1,Unknown,12812986
ATF5,EGR1,Unknown,19531563
ATF6,ATP2A2,Unknown,11595740
ATF6,BGLAP,Unknown,22102412
ATF6,DDIT3,Unknown,17455323
ATF6,XBP1,Unknown,20003459;24269637
ATM,BAX,Activation,16214353
ATM,BCL2,Repression,16214353
ATM,CDKN1A,Unknown,12420214
ATM,DUSP1,Activation,17178844
ATM,MCL1,Activation,20164679
ATM,PCNA,Unknown,22362778
ATM,SLC2A1,Repression,20676049
ATM,SP1,Repression,11466608
ATM,SP1,Unknown,12926986
ATM,VEGFA,Repression,20676049
BRCA1,ATM,Activation,22832221
BRCA1,CDKN1A,Activation,16735508;18025037;21245169
BRCA1,CDKN1A,Unknown,10196224;11394910;12647291;9926942
BRCA1,CDKN1B,Activation,18025037
BRCA1,CDKN1B,Unknown,16331276
BRCA1,DDIT3,Activation,21700680
BRCA1,EGR1,Unknown,20103632
BRCA1,HIF1A,Unknown,16543242
BRCA1,IFNA1,Activation,17374731
BRCA1,IGF1,Repression,18045956
BRCA1,KHSRP,Repression,21099359
BRCA1,SIRT1,Activation,18851829;20160719;21407215;9000507
BRCA1,STAT3,Unknown,11163768
BRCA1,VEGFA,Activation,16543242
BRCA1,XPC,Unknown,12647291
CDX2,ABCB1,Unknown,20699370
CDX2,CDKN1A,Activation,12970742
CDX2,GSK3B,Unknown,24501326
CDX2,KLF4,Activation,11521200
CDX2,KLF4,Unknown,23202735
CDX2,PTGS2,Repression,15013430
CDX2,SP1,Unknown,22580340
CDX2,VDR,Unknown,11450701;16604479;16883525;19960008
CREB1,ADRA1A,Unknown,10520459
CREB1,AR,Unknown,15994978;21457548
CREB1,BCL2,Activation,17290286
CREB1,BCL2,Unknown,10542244;19626458
CREB1,BDNF,Activation,11719924
CREB1,CASP8,Activation,18342014
CREB1,CCL5,Unknown,11413310
CREB1,CRTC1,Unknown,17334997
CREB1,GABPA,Unknown,10585419
CREB1,GSK3B,Unknown,11579131
CREB1,HMOX1,Repression,14523007
CREB1,IFNG,Activation,20006311;20685939
CREB1,IFNG,Repression,11907114
CREB1,IFNG,Unknown,7759501
CREB1,IL10,Activation,10540320;22140263
