TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
ABL1,BCL2,Repression,11753601
ABL1,TP53,Activation,11753601
ESR1,BCL2,Activation,19148464
ESR1,BCL2,Unknown,10542244;11261829;9306964
ESR1,CTSD,Unknown,10037443;19569049
ESR1,ESR1,Unknown,16636675
ESR1,HTRA2,Activation,21486948
ESR1,NQO1,Repression,20623181
ESR1,RET,Unknown,21737465;21947652
ESR1,TP53,Repression,17681750
ESR1,VEGFA,Activation,19398483
ESR1,VEGFA,Unknown,10995484;14647449
HSF1,ABCB1,Unknown,10816597
HSF1,ATG7,Activation,23386620
HSF1,HSPA1A,Unknown,17897941;20692357;23212905;23874968
HSF1,HSPA4,Activation,12813038;23349863;8114740;8455624
HSF1,HSPA4,Unknown,1508207;15777846;16554822;22940245;23264262
HSF1,IL1B,Repression,10328874
HSF1,TNF,Unknown,18689673
MTA1,ESR1,Repression,24413532
MTA1,ESR1,Unknown,11146623
MTA1,NOS2,Activation,20022949
MTA1,PTEN,Repression,22700976
NFE2L2,HMOX1,Activation,16551619;21982894;22484158
NFE2L2,HMOX1,Repression,22459801
NFE2L2,HMOX1,Unknown,17942419;24035498
NFE2L2,MTHFR,Activation,16551619
NFE2L2,NQO1,Activation,11013233
NFE2L2,NQO1,Repression,22459801
NFE2L2,NQO1,Unknown,11035254
NFE2L2,SOD1,Activation,22493435
NFE2L2,SOD2,Activation,22493435
NR4A2,SLC6A3,Unknown,19494806
PITX3,TH,Activation,22223473
SIRT1,ABCB1,Activation,20713551
SIRT1,HSF1,Activation,23349863
SIRT1,HSF1,Unknown,19229036
SIRT1,HSPA4,Unknown,23349863
SIRT1,IL1B,Unknown,21245135
SIRT1,NQO1,Repression,20623181
SIRT1,TNF,Unknown,21245135
SIRT1,TP53,Activation,23661372
SIRT1,TP53,Repression,15130752;15632193
SREBF1,HMOX1,Unknown,17452746
TP53,ABCB1,Repression,10029407
TP53,ABCB1,Unknown,18234965
TP53,AKT1,Repression,12485897
TP53,BCL2,Repression,11313951;17693666;19411072;20428827;9000137
TP53,BCL2,Unknown,21859835
TP53,CASP3,Unknown,21859835
TP53,CTSD,Activation,10029407
TP53,ESR1,Unknown,21655924
TP53,GPNMB,Unknown,15684612
TP53,GSTP1,Activation,18505928
TP53,HSF1,Unknown,20180806
TP53,IGF1R,Repression,12444079;17097318
TP53,IGF1R,Unknown,11001824;17600529
TP53,PPARGC1A,Unknown,19139068
TP53,PTEN,Repression,17344317
TP53,PTEN,Unknown,11545734
TP53,TP53,Activation,22532570
TP53,TP53,Unknown,11032029;16990849
TP53,VEGFA,Activation,16684540
TP53,VEGFA,Repression,11559575
VDR,DDIT4,Unknown,21123297
VDR,HLA-DRB1,Unknown,19956544
VDR,IL10,Repression,20691220
VDR,IL6,Repression,11050002
