TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,BAX,Repression,22909821
AATF,CDKN1A,Unknown,17157788
AATF,KLK3,Unknown,23146908
AATF,MYC,Activation,20549547
AATF,TP53,Unknown,17157788
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
ABL1,BCL6,Repression,15509806
ABL1,CCND2,Activation,15509806
ABL1,CDKN1A,Activation,11753601;9916993
ABL1,CSF1,Activation,23418320
ABL1,CSF1,Unknown,18619508
ABL1,FOXO3,Activation,15509806
ABL1,JUN,Activation,15145216
ABL1,JUN,Repression,19357699
ABL1,PIM1,Activation,15145216
ABL1,TP53,Activation,11753601
AES,EPHA3,Unknown,20676368
AHR,ABCG2,Unknown,20460431
AHR,AHRR,Activation,18848529
AHR,ARNT,Unknown,19255421;8631989
AHR,BRCA1,Unknown,18259752
AHR,CA9,Repression,19154183
AHR,CCND1,Unknown,24380854
AHR,CCNG2,Activation,22596188
AHR,CYP1A1,Activation,12213390;9865727
AHR,CYP1A1,Repression,17012224
AHR,CYP1A1,Unknown,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR,CYP1A2,Unknown,21357676
AHR,CYP1B1,Activation,16115918;19287966
AHR,CYP1B1,Unknown,12376470;19376845;21742528;24299737
AHR,CYP2B6,Unknown,19928584
AHR,FOS,Unknown,10478842
AHR,IL13,Unknown,22981205
AHR,IL1B,Unknown,23349129
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
AHR,MFSD2A,Unknown,21736709
AHR,MT2A,Unknown,23994556
AHR,MYC,Unknown,11114727;16091746
AHR,PCNA,Activation,12417031
AHR,RFC3,Activation,12417031
AHR,UGT1A1,Activation,18172616
AHR,UGT1A6,Unknown,9466822
AIP,AHR,Activation,11469723
ANKRD1,NPPA,Repression,18273862
APC,AKT1,Repression,15888491
APC,DNMT1,Repression,12538344
APC,KLF4,Unknown,12387883
APC,MYC,Repression,16510874
APC,NOS2,Activation,11935128
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
APC,SGK1,Repression,18487207
APEX1,CCL2,Activation,17045925
APEX1,CD19,Activation,10666449
APEX1,CYP11B2,Repression,22652909
APEX1,NFKB1,Activation,17045925
APEX1,PTH,Repression,14633989
APEX1,RELA,Activation,17045925
APEX1,SLC5A5,Activation,14630715
AR,ACTA1,Activation,15623502
AR,AKR1C3,Repression,22971343
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,ALDH1A3,Unknown,17526768
AR,ARG1,Activation,20711410
AR,ARG2,Activation,20711410
