TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,BAX,Repression,22909821
AATF,TP53,Unknown,17157788
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
ABL1,TP53,Activation,11753601
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
AR,ACTA1,Activation,15623502
AR,AKR1C3,Repression,22971343
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,ALDH1A3,Unknown,17526768
AR,ARG1,Activation,20711410
AR,ARG2,Activation,20711410
AR,ATAD2,Unknown,22771493
AR,BSG,Unknown,14633669
AR,BTG1,Repression,16281084
AR,BTG2,Repression,16281084
AR,CDK20,Activation,21747169
AR,CDC6,Activation,24583551
AR,CDC6,Unknown,18541154
AR,CDH1,Repression,18794357
AR,CDH11,Unknown,20191612
AR,CDH2,Activation,17297473;18535113
AR,CDK20,Activation,21747169
AR,CDK6,Unknown,15790678
AR,CDKN1A,Activation,10076995
AR,CDKN1A,Repression,16281084
AR,CLK3,Repression,16281084
AR,CRH,Repression,16446741
AR,CRISP1,Unknown,11223178
AR,CRISP3,Unknown,11223178
AR,CTNNB1,Activation,18535113
AR,CYP7B1,Repression,16630558
AR,EGFR,Activation,11556855;21613411
AR,ELK4,Unknown,18469865
AR,EP300,Activation,22334658
AR,ERBB2,Activation,21613411
AR,ERBB2,Unknown,21741601
AR,ERBB3,Activation,21741601
AR,ETV1,Activation,19789348
AR,FKBP4,Unknown,23192983
AR,FN1,Unknown,21055159
AR,FOLH1,Unknown,12539223
AR,FOXA1,Unknown,12750453
AR,GNMT,Unknown,23997240
AR,GREB1,Unknown,16496412
AR,GTF2F1,Unknown,9238003
AR,HMMR,Unknown,18174258
AR,HMOX1,Activation,11965035
AR,IFI16,Unknown,16494870
AR,IGF1R,Activation,15033751;17202144
AR,IGFBP3,Unknown,23859805
AR,JUN,Activation,20148354
AR,KISS1,Activation,18331266
AR,KISS1R,Activation,18331266
AR,KLF5,Unknown,19460858
AR,KLK1,Unknown,11532861
AR,KLK2,Unknown,11532861;16751804;20688158;9241247
AR,KLK3,Activation,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
AR,KLK3,Repression,16342680;9316650
AR,KLK3,Unknown,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894
AR,KLK4,Unknown,12539223
AR,MED1,Unknown,17483314
AR,MID1,Unknown,24913494
AR,MUC1,Repression,21308711
AR,MYC,Unknown,24512546
AR,NAT1,Activation,17210686
AR,NDRG1,Unknown,17075604
AR,NFKB1,Repression,18386814
AR,NKX3-1,Activation,16697957;17303007
AR,NKX3-1,Unknown,11238180
AR,NOV,Unknown,23318417
AR,NRAS,Repression,16281084
AR,PC,Activation,18497079
AR,PSCA,Unknown,23330817
AR,PEBP1,Unknown,23095933
AR,PIGR,Unknown,11171058
AR,PIP,Unknown,21809344
AR,PMEPA1,Unknown,17075604;18703514
AR,PNRC1,Unknown,10894149
AR,KLK3,Unknown,24937452
AR,PTEN,Activation,23418309
AR,PTEN,Unknown,20729295;21532617
AR,PTGS2,Repression,18386814
AR,PTPN1,Unknown,22282656
AR,RELA,Repression,18386814
AR,REST,Repression,24163104
AR,SEPT7,Repression,16281084
AR,SERPINB5,Repression,16304843
AR,SESN1,Unknown,16751804
AR,SRD5A3,Unknown,22194926
AR,STIM1,Unknown,21432868
AR,TBP,Unknown,9238003
AR,TCF7L2,Unknown,12799378
AR,TGFA,Activation,11556855
AR,TH,Activation,16356647
AR,TJP1,Activation,18535113
AR,TMPRSS2,Activation,20308527;21761340
AR,TMPRSS2,Unknown,23192983
AR,TRPS1,Unknown,15613454
AR,TSC1,Repression,21036700
AR,TSC2,Repression,21036700
AR,UCN,Repression,23801677
AR,UGT2B15,Unknown,18302198
AR,USP26,Unknown,20501646
AR,VEGFA,Activation,16007189
AR,VEGFA,Unknown,23369005
AR,VIM,Repression,18535113
AR,WEE1,Repression,16281084
AR,WNT7B,Activation,21741601
AR,XIAP,Repression,20589722
ARID3A,E2F1,Unknown,23659165
ARNT,EPO,Activation,8663540
ATF1,BCL2,Unknown,10542244
ATF1,GABPA,Unknown,10585419
ATF2,DUSP1,Unknown,17681939
ATF2,NOS3,Repression,16497991
ATF2,PTGS2,Unknown,11278336;12057991
ATF3,TP53,Unknown,22991139
ATF4,APOE,Activation,22028770
ATF4,IL6,Unknown,16931790
ATF4,PTGS2,Unknown,21244365
ATF4,SIGMAR1,Activation,22079628
ATF4,SIRT1,Activation,22363646
ATF4,SIRT1,Repression,21801305
ATF5,BCL2,Activation,21212266
ATF5,CREB1,Activation,17140605
ATM,BAX,Activation,16214353
ATM,BCL2,Repression,16214353
ATM,DUSP1,Activation,17178844
BACH2,BCL2,Unknown,18929412
BDP1,TP53,Unknown,12734418
BRCA1,IGF1,Repression,18045956
BRCA1,SIRT1,Activation,18851829;20160719;21407215;9000507
BTAF1,TBP,Repression,20627952
BTAF1,TBP,Unknown,14988402;15509807;16858867
CDCA7L,MAOB,Repression,20980443
CDX1,PTGS2,Activation,21613300
CDX1,TBP,Unknown,17158164
CDX2,PTGS2,Repression,15013430
CEBPA,ALB,Unknown,10542249
CEBPA,BCL2,Repression,12970736
CEBPA,IGF1,Activation,7708053
CEBPA,IL6,Unknown,11975924
CEBPA,LEP,Activation,21983012
CEBPB,ALB,Unknown,10542249
CEBPB,IL6,Activation,10903137;8725624
CEBPB,IL6,Unknown,11120852
CEBPB,PTGS2,Activation,16820889;18294142
CEBPB,PTGS2,Repression,18820298
CEBPB,PTGS2,Unknown,10956548;16699180;17556653;7559624
CEBPD,PTGS2,Unknown,7559624
CEBPD,SOD1,Activation,20385105
CIITA,MMP9,Repression,15247301
CIITA,SIRT1,Repression,22064865
CREB1,ACACA,Activation,19842072
CREB1,ADRA1A,Unknown,10520459
CREB1,AQP3,Unknown,18495115
CREB1,AR,Unknown,15994978;21457548
CREB1,BCL2,Activation,17290286
CREB1,BCL2,Unknown,10542244;19626458
CREB1,BCL2L11,Unknown,20367563
CREB1,BDKRB1,Unknown,10842322
CREB1,BDKRB2,Unknown,15632413
CREB1,BDNF,Activation,11719924
CREB1,CASP8,Activation,18342014
CREB1,CCK,Unknown,15030385;15073527
CREB1,CCL5,Unknown,11413310
CREB1,CD4,Unknown,9765424
CREB1,CGA,Unknown,10341006
CREB1,CRTC1,Unknown,17334997
CREB1,CXCR4,Unknown,11874984
CREB1,CYP11A1,Unknown,11057754
CREB1,CYP11B1,Unknown,11196473
CREB1,CYP11B2,Unknown,11196473
