TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AR,ACTA1,Activation,15623502
AR,AKR1C3,Repression,22971343
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,ALDH1A3,Unknown,17526768
AR,ARG1,Activation,20711410
AR,ARG2,Activation,20711410
AR,ATAD2,Unknown,22771493
AR,BSG,Unknown,14633669
AR,BTG1,Repression,16281084
AR,BTG2,Repression,16281084
AR,CDK20,Activation,21747169
AR,CDC6,Activation,24583551
AR,CDC6,Unknown,18541154
AR,CDH1,Repression,18794357
AR,CDH11,Unknown,20191612
AR,CDH2,Activation,17297473;18535113
AR,CDK20,Activation,21747169
AR,CDK6,Unknown,15790678
AR,CDKN1A,Activation,10076995
AR,CDKN1A,Repression,16281084
AR,CLK3,Repression,16281084
AR,CRH,Repression,16446741
AR,CRISP1,Unknown,11223178
AR,CRISP3,Unknown,11223178
AR,CTNNB1,Activation,18535113
AR,CYP7B1,Repression,16630558
AR,EGFR,Activation,11556855;21613411
AR,ELK4,Unknown,18469865
AR,EP300,Activation,22334658
AR,ERBB2,Activation,21613411
AR,ERBB2,Unknown,21741601
AR,ERBB3,Activation,21741601
AR,ETV1,Activation,19789348
AR,FKBP4,Unknown,23192983
AR,FN1,Unknown,21055159
AR,FOLH1,Unknown,12539223
AR,FOXA1,Unknown,12750453
AR,GNMT,Unknown,23997240
AR,GREB1,Unknown,16496412
AR,GTF2F1,Unknown,9238003
AR,HMMR,Unknown,18174258
AR,HMOX1,Activation,11965035
AR,IFI16,Unknown,16494870
AR,IGF1R,Activation,15033751;17202144
AR,IGFBP3,Unknown,23859805
AR,JUN,Activation,20148354
AR,KISS1,Activation,18331266
AR,KISS1R,Activation,18331266
AR,KLF5,Unknown,19460858
AR,KLK1,Unknown,11532861
AR,KLK2,Unknown,11532861;16751804;20688158;9241247
AR,KLK3,Activation,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
AR,KLK3,Repression,16342680;9316650
AR,KLK3,Unknown,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894
AR,KLK4,Unknown,12539223
AR,MED1,Unknown,17483314
AR,MID1,Unknown,24913494
