TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AR,VIM,Repression,18535113
CEBPD,SOD1,Activation,20385105
CTNNB1,VIM,Activation,12750294
EGR1,SOD1,Activation,9867871
ERG,VIM,Activation,8895512
ETV4,VIM,Activation,8895512
HDGF,VIM,Activation,22247069
HIF1A,VIM,Activation,22295844
HIPK2,VIM,Repression,22236966
HOXA7,VIM,Activation,11742062
KLF4,SOD1,Repression,23370975
KLF8,VIM,Repression,20728449
MSX2,SOD1,Activation,22824755
MTF1,SOD1,Activation,15378601
MYC,PRDX3,Activation,12011429
NFE2L2,SOD1,Activation,22493435
NRF1,PRDX3,Activation,21051700
PARP1,VIM,Activation,17720873
PPARD,SOD1,Activation,18048767
SOX2,VIM,Activation,20739473
SP1,SOD1,Activation,8921911;9867871
SP1,SOD1,Repression,11724400
SP1,VIM,Activation,12771217
TCF4,VIM,Activation,12750294
TRIM16,VIM,Repression,22009481
ZEB2,VIM,Activation,22227038
ZNF148,VIM,Repression,12771217;17663720
ZNF148,VIM,Unknown,20230874
